time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
0.390109,4,819.059,529.597,1843.172,682.656,3073.798,864.498,4325.873,671.793,--undefined--,--undefined--
0.396359,4,841.612,559.252,1859.529,408.585,3204.604,638.198,4485.511,663.372,--undefined--,--undefined--
0.402609,4,674.527,471.843,1907.410,441.344,3301.566,725.419,4545.373,408.901,--undefined--,--undefined--
0.408859,4,693.030,571.855,1989.252,381.204,3099.322,697.729,4530.450,375.049,--undefined--,--undefined--
0.415109,4,960.778,537.004,1987.988,420.295,3031.939,618.411,4483.621,600.829,--undefined--,--undefined--
0.421359,4,930.984,449.804,2021.598,573.442,3046.147,640.469,4355.466,734.359,--undefined--,--undefined--
0.427609,4,1053.176,805.244,1843.457,812.445,3218.924,1145.185,4388.073,743.785,--undefined--,--undefined--
0.433859,5,642.176,1060.274,1585.575,774.336,2335.766,1258.018,3618.347,1133.216,4751.390,602.002
0.440109,4,706.169,749.376,2013.536,940.205,3215.770,966.697,4652.536,669.743,--undefined--,--undefined--
0.446359,4,572.304,476.214,1883.700,611.194,3000.607,941.016,4382.615,866.343,--undefined--,--undefined--
0.452609,4,714.958,986.427,1960.288,661.296,3144.389,1128.852,4347.313,994.734,--undefined--,--undefined--
0.458859,4,784.944,833.122,1981.540,631.444,3263.597,1130.046,4608.590,768.383,--undefined--,--undefined--
0.465109,5,766.322,569.837,1780.643,731.385,3071.129,4241.848,3097.339,1008.486,4773.782,737.665
0.471359,4,925.324,580.072,2123.803,987.869,3207.291,721.872,4825.567,1246.191,--undefined--,--undefined--
0.477609,4,973.429,689.438,1934.674,876.992,3180.489,811.792,4538.946,795.489,--undefined--,--undefined--
0.483859,5,659.139,611.581,1589.868,794.490,2514.095,1031.735,3700.179,856.856,4750.206,760.440
0.490109,5,637.510,407.164,1657.826,878.354,2536.018,767.514,3718.179,907.693,4772.375,646.881
0.496359,5,525.054,363.786,1830.295,513.460,2896.190,1361.553,3716.025,1300.286,4761.454,1077.544
0.502609,4,689.370,686.404,1618.726,720.870,2939.672,911.693,3953.281,778.728,--undefined--,--undefined--
0.508859,4,800.704,589.632,1683.356,1111.207,2695.333,1603.716,3826.032,1044.469,--undefined--,--undefined--
0.515109,4,798.334,637.411,1970.800,631.357,3150.870,996.883,4123.369,1009.098,--undefined--,--undefined--
0.521359,4,946.093,719.314,1947.010,919.119,3028.432,1128.283,4292.947,900.979,--undefined--,--undefined--
0.527609,4,903.836,665.828,1788.282,678.299,3007.925,1139.296,4240.199,727.869,--undefined--,--undefined--
0.533859,4,969.750,303.785,2007.289,472.972,3210.949,648.496,4364.980,742.497,--undefined--,--undefined--
0.540109,4,930.836,498.073,2071.168,580.420,3354.447,965.022,4356.632,1653.071,--undefined--,--undefined--
0.546359,5,732.733,759.109,1343.228,801.243,2369.231,772.252,3690.032,520.998,4846.907,613.330
0.552609,5,643.912,809.319,1741.357,1090.752,2196.803,1609.096,3370.001,907.331,4765.151,520.076
0.558859,5,658.082,637.667,1912.883,971.170,1940.455,2800.188,3356.386,849.205,4792.207,669.445
0.565109,5,811.803,633.768,1406.513,2303.979,2075.834,875.123,3461.856,568.904,4883.410,781.673
0.571359,5,706.205,570.124,1503.364,1115.107,2349.652,692.935,3479.549,496.442,4949.089,741.032
0.577609,5,662.730,458.093,1686.416,816.740,2647.458,1273.929,3531.979,906.738,4820.364,1104.190
0.583859,4,648.065,567.700,1771.654,567.482,2962.803,658.960,4295.312,835.983,--undefined--,--undefined--
0.590109,4,731.637,684.966,1816.374,1134.147,2817.629,907.670,4371.279,968.845,--undefined--,--undefined--
0.596359,5,724.718,415.348,1581.081,663.383,2604.774,815.518,3653.117,849.862,4868.232,506.685
0.602609,5,676.880,712.733,1399.625,824.551,2492.594,1415.380,3672.824,766.080,4809.598,737.770
0.608859,5,520.558,1341.575,1089.768,916.085,2407.258,730.788,3751.552,819.885,4795.541,766.249
0.615109,5,680.535,604.599,1421.711,1096.224,2533.565,671.188,3674.858,660.085,4941.623,1067.674
0.621359,5,868.445,741.515,934.283,4168.052,2255.306,1269.498,3335.286,1169.444,4622.501,1014.675
0.627609,5,656.857,567.299,1840.953,836.417,2928.516,2613.591,3250.987,599.593,4854.799,878.303
0.633859,4,725.309,970.291,2027.558,372.464,3211.617,373.171,3935.634,618.772,--undefined--,--undefined--
0.640109,4,1507.794,1769.108,2023.455,400.964,3227.773,319.330,3946.908,602.031,--undefined--,--undefined--
0.646359,4,910.166,2952.830,1963.037,394.985,3237.239,368.918,3981.870,1143.940,--undefined--,--undefined--
0.652609,4,1070.709,841.964,2235.764,665.222,3453.831,366.267,4735.362,629.250,--undefined--,--undefined--
0.658859,4,1069.757,507.265,2396.041,1032.319,3359.634,437.409,4613.114,674.520,--undefined--,--undefined--
0.665109,5,981.587,466.191,1308.376,2077.183,3139.350,174.497,3726.012,865.184,4688.264,563.896
0.671359,5,968.320,349.929,1661.067,1439.331,3144.499,140.780,3768.089,945.237,4702.084,499.809
0.677609,4,869.310,824.900,1896.444,1043.394,3222.990,323.053,4677.419,696.175,--undefined--,--undefined--
0.683859,5,552.472,803.176,1512.796,1067.694,2252.960,1083.407,3479.303,360.409,4749.179,569.466
0.690109,5,785.910,699.935,1543.168,1398.501,2136.417,1371.828,3471.996,424.714,4764.411,890.918
0.696359,4,934.452,432.111,1870.895,837.188,3283.974,425.263,4159.030,1448.469,--undefined--,--undefined--
0.702609,4,844.469,507.297,1855.598,730.726,3285.606,578.363,4213.556,1333.718,--undefined--,--undefined--
0.708859,4,726.753,299.774,1919.536,434.347,3216.528,406.127,4251.392,1202.583,--undefined--,--undefined--
0.715109,4,692.471,330.954,1867.204,410.377,3217.837,146.971,4023.175,762.397,--undefined--,--undefined--
0.721359,4,689.880,521.186,1952.619,458.081,3254.518,129.237,4156.966,686.665,--undefined--,--undefined--
0.727609,4,893.656,415.830,2113.923,723.403,3321.395,584.787,4777.776,1569.085,--undefined--,--undefined--
0.733859,4,727.282,590.496,1838.634,858.891,3054.651,809.856,4227.471,910.706,--undefined--,--undefined--
0.740109,4,645.926,609.861,1841.419,704.229,3100.140,1073.717,4281.682,1874.779,--undefined--,--undefined--
0.746359,4,805.766,473.985,1903.597,532.092,3247.150,947.731,5160.918,1818.332,--undefined--,--undefined--
0.752609,5,767.362,678.258,1907.890,1838.287,2003.681,958.540,3493.080,524.102,4906.965,815.672
0.758859,5,734.449,564.633,1788.254,799.897,2515.917,1487.074,3537.311,804.043,4561.856,607.517
0.765109,4,795.950,575.118,2079.679,1154.234,3257.504,982.317,4368.240,1131.786,--undefined--,--undefined--
0.771359,5,795.688,570.871,1531.536,7844.730,1947.741,978.651,3404.688,603.383,4828.872,1091.959
0.777609,4,935.166,472.600,1851.422,818.404,3404.578,603.418,4643.951,1882.818,--undefined--,--undefined--
0.783859,4,806.138,384.845,1621.142,1167.807,2723.098,1037.381,4026.386,1249.097,--undefined--,--undefined--
0.790109,5,740.341,429.712,1654.251,710.940,2529.435,776.471,3637.735,827.302,4833.329,882.892
0.796359,5,772.103,453.367,1567.623,869.275,2534.266,680.152,3580.712,523.699,4803.717,639.925
0.802609,5,736.200,513.719,1617.724,1233.348,2692.933,838.994,3670.565,1216.100,5172.034,1376.794
0.808859,4,601.944,1062.924,1246.062,647.355,2577.353,715.528,3696.758,736.428,--undefined--,--undefined--
0.815109,5,533.520,660.558,1332.529,639.361,2446.029,570.831,3757.607,580.160,5024.297,894.450
0.821359,5,709.417,923.402,1551.733,1189.369,2337.428,1777.794,3596.089,924.076,5201.153,1633.731
0.827609,4,775.001,509.378,1721.649,368.436,3103.515,432.972,4212.541,628.621,--undefined--,--undefined--
0.833859,4,842.728,517.605,1813.019,500.762,3060.713,806.949,4229.263,1101.686,--undefined--,--undefined--
0.840109,4,1046.313,354.587,2062.687,518.940,3100.531,712.575,4301.009,869.772,--undefined--,--undefined--
0.846359,4,959.584,363.603,2008.868,490.807,2969.950,1322.015,4175.302,710.902,--undefined--,--undefined--
0.852609,4,1031.815,295.830,2100.265,468.391,3335.944,1371.972,4279.819,921.769,--undefined--,--undefined--
0.858859,4,1028.753,401.219,2294.957,588.143,3408.164,741.959,4739.587,677.060,--undefined--,--undefined--
0.865109,4,982.713,419.345,2048.591,644.460,3412.553,481.606,4715.886,542.054,--undefined--,--undefined--
0.871359,4,875.336,616.594,1899.626,768.756,3246.566,597.723,4779.989,685.075,--undefined--,--undefined--
0.877609,4,885.014,402.109,1720.815,1552.667,2914.239,1046.427,4601.346,738.564,--undefined--,--undefined--
0.883859,5,663.941,1159.646,1045.878,936.118,2424.335,751.813,3519.767,1064.173,4607.341,359.435
0.890109,4,759.466,510.753,2079.182,496.796,3374.816,844.575,4265.751,1261.102,--undefined--,--undefined--
0.896359,5,778.402,594.422,1844.094,732.483,1913.591,4858.018,3437.990,570.739,4679.639,793.511
0.902609,5,722.372,767.908,1445.628,1273.159,2417.926,1120.166,3754.035,870.168,4792.283,1051.011
0.908859,5,500.560,707.000,1435.792,815.890,2464.679,420.736,3816.848,639.865,4762.772,672.237
0.915109,5,609.608,836.316,1267.119,956.118,2372.262,388.088,3653.703,444.300,4917.396,619.085
0.921359,5,929.137,460.427,1050.011,1438.429,2428.081,382.940,3572.543,382.122,4950.989,588.403
0.927609,5,882.933,330.254,1386.669,2568.630,2333.685,447.012,3622.600,443.184,5272.519,1207.031
0.933859,5,852.678,543.952,1175.991,2596.066,2431.175,417.205,3697.867,563.442,5030.001,1431.087
0.940109,5,806.060,641.908,1151.611,1377.308,2459.515,369.506,3509.100,260.222,4798.032,523.519
0.946359,5,633.920,541.364,1434.979,1183.104,2430.641,445.590,3611.329,309.543,4842.814,691.960
0.952609,4,894.887,825.057,2263.061,698.627,3501.035,575.386,3827.630,1948.478,--undefined--,--undefined--
0.958859,4,848.221,928.016,2469.038,402.502,3470.255,485.683,3708.761,2469.509,--undefined--,--undefined--
0.965109,4,276.310,245.365,2095.534,1704.695,2520.048,466.947,3433.866,397.158,--undefined--,--undefined--
0.971359,4,304.568,90.476,2229.733,182.007,2952.086,769.934,3513.799,304.951,--undefined--,--undefined--
0.977609,4,323.011,220.459,2209.681,93.067,3127.389,877.428,3536.400,469.710,--undefined--,--undefined--
0.983859,4,635.169,1153.384,2231.912,73.123,3273.047,367.177,3827.452,505.887,--undefined--,--undefined--
0.990109,4,346.320,983.850,2297.130,148.309,3285.527,219.665,3945.398,991.069,--undefined--,--undefined--
0.996359,3,2334.797,490.419,3321.257,1884.421,3322.870,339.980,--undefined--,--undefined--,--undefined--,--undefined--
1.002609,4,279.865,112.955,2126.352,202.585,2992.301,733.975,3364.358,415.427,--undefined--,--undefined--
1.008859,5,302.560,26.417,2156.378,84.854,2909.490,703.843,3271.386,299.698,4815.588,1426.777
1.015109,5,309.742,34.894,2169.418,84.723,2946.892,585.540,3236.004,222.079,4691.260,2018.416
1.021359,5,311.635,33.808,2179.670,116.311,2973.581,542.996,3236.059,305.123,4847.797,2642.187
1.027609,5,307.811,27.708,2189.994,109.059,2862.867,748.520,3193.751,268.742,4594.038,1660.162
