time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
1.621359,5,277.216,28.662,2277.921,324.366,2611.853,1287.874,3184.444,128.711,4231.645,224.771
1.627609,5,278.491,29.399,2304.207,312.257,2337.330,1343.849,3242.540,122.523,4258.532,134.140
1.633859,5,279.834,23.806,2228.158,421.996,2649.152,970.970,3209.711,157.570,4276.391,111.766
1.640109,5,283.516,28.563,2275.221,245.938,2526.795,1988.197,3181.935,119.864,4286.936,167.773
1.646359,5,286.313,41.585,2307.817,277.071,2319.648,2137.425,3214.768,121.073,4247.357,289.069
1.652609,5,284.822,42.590,2294.050,396.435,2463.465,1396.475,3213.961,123.406,4226.727,421.129
1.658859,5,283.521,30.085,2211.232,153.265,2696.002,1204.089,3231.888,120.490,4262.022,525.654
1.665109,5,283.855,44.579,2242.376,109.407,2290.397,3419.529,3190.757,130.812,4310.429,385.111
1.671359,5,286.169,51.602,1769.970,3399.779,2311.013,172.624,3148.846,104.576,4304.537,256.798
1.677609,5,283.481,45.759,2009.721,5227.701,2297.574,177.375,3113.478,129.817,4294.594,321.608
1.683859,5,279.476,32.754,2338.911,376.051,2621.195,1677.840,3149.354,173.293,4266.278,356.411
1.690109,5,275.296,26.035,2179.458,467.690,2676.082,735.531,3173.199,152.754,4275.671,263.097
1.696359,5,278.472,33.023,2171.567,917.282,2531.738,895.134,3217.236,112.534,4328.278,881.048
1.702609,5,283.338,48.287,2284.268,2565.526,2327.236,482.225,3220.925,117.360,4275.405,1124.578
1.708859,5,282.196,34.509,2222.925,966.519,2698.391,1177.429,3189.164,136.338,4217.987,711.276
1.715109,5,278.891,31.205,2080.040,1412.144,2686.763,550.450,3193.580,147.053,4254.593,325.538
1.721359,5,276.810,28.168,2231.998,807.911,2644.523,600.003,3215.546,170.303,4246.481,274.853
1.727609,5,274.630,25.180,2248.603,341.417,2773.461,1113.328,3179.645,236.990,4277.871,376.414
1.733859,5,274.703,27.550,2241.978,349.481,2848.081,994.208,3178.139,208.864,4267.141,554.994
1.740109,5,274.344,25.260,2210.124,470.454,2894.783,836.041,3205.832,184.663,4234.852,903.912
1.746359,5,274.345,34.856,2155.770,669.024,2939.621,903.494,3214.217,175.428,4331.225,1223.885
1.752609,5,273.487,48.660,2235.398,307.028,2766.074,2157.861,3211.197,131.475,4251.032,626.499
1.758859,5,273.133,35.234,2295.675,365.190,2654.273,1368.306,3215.670,132.180,4251.184,296.440
1.765109,5,273.235,38.613,2186.232,644.611,2882.865,525.862,3263.446,130.907,4319.747,624.625
1.771359,5,272.527,34.070,2065.289,897.711,2817.231,329.479,3252.346,68.822,4181.375,470.603
1.777609,5,273.666,28.234,2077.141,711.751,2725.553,365.117,3256.332,64.808,4223.713,334.228
1.783859,5,276.494,33.184,2280.309,571.968,2728.221,828.481,3185.329,170.697,4214.202,975.330
1.790109,5,277.418,39.142,2225.116,993.179,2827.230,570.597,3269.383,197.907,4324.981,1848.684
1.796359,5,273.593,31.177,2156.990,359.678,2903.222,837.199,3242.515,192.270,4264.249,1051.109
1.802609,5,276.527,30.403,2174.131,434.105,2870.443,577.749,3250.150,160.826,4219.398,731.320
1.808859,5,277.780,30.571,2229.685,270.198,2870.716,570.073,3211.878,176.863,4272.718,814.869
1.815109,5,279.079,35.378,2246.276,198.821,2972.038,974.888,3150.699,209.503,4340.573,869.525
1.821359,5,283.382,31.375,2286.047,336.729,3085.106,944.702,3151.245,244.892,4393.802,1251.421
1.827609,5,289.907,27.156,2219.349,552.707,2887.680,471.536,3243.929,128.742,4613.131,1432.057
1.833859,5,293.162,28.005,2240.269,417.568,2781.402,518.988,3234.911,135.306,4467.851,759.674
1.840109,5,300.431,27.588,2234.630,217.824,2863.828,482.496,3212.107,152.141,4374.386,493.886
1.846359,5,302.088,25.356,2214.736,168.893,2921.473,363.555,3219.750,183.713,4326.762,787.833
1.852609,5,300.689,31.441,2226.275,203.375,2945.659,402.746,3235.635,201.851,4320.268,1209.733
1.858859,5,294.201,34.978,2235.739,305.079,2851.617,420.275,3212.355,149.488,4348.858,788.736
1.865109,5,295.416,43.872,2215.946,322.453,2800.335,533.100,3205.021,154.357,4312.210,826.837
1.871359,5,295.165,42.314,2217.383,360.118,2822.216,540.955,3204.026,151.769,4402.003,1153.199
1.877609,5,291.017,42.009,2192.082,514.591,2760.559,913.724,3198.977,146.300,4507.274,1395.358
1.883859,5,287.960,41.646,2177.837,483.173,2840.364,648.132,3232.229,155.135,4388.109,1035.128
1.890109,5,285.525,45.120,2202.782,328.081,2895.519,435.686,3236.694,154.465,4346.764,926.361
1.896359,5,286.286,39.521,2215.936,227.604,2943.451,584.924,3214.623,205.766,4442.525,975.212
1.902609,4,283.939,36.777,2223.657,296.271,2979.137,354.771,3282.490,240.484,--undefined--,--undefined--
1.908859,5,285.046,43.907,2198.742,221.885,2947.026,381.524,3259.913,201.723,4455.998,1311.356
1.915109,5,283.081,44.942,2206.123,221.230,2893.791,540.528,3218.133,169.289,4346.553,797.815
1.921359,5,286.667,49.578,2239.585,250.367,2891.605,816.061,3204.085,158.453,4407.133,1157.929
1.927609,5,296.714,63.637,2304.195,270.397,2912.310,1001.834,3199.105,184.592,4400.227,1691.273
1.933859,5,296.753,51.761,2270.260,280.516,2889.461,551.363,3228.136,240.678,4567.611,1468.801
1.940109,5,288.859,46.700,2249.270,269.036,2768.814,626.294,3235.181,173.407,4393.037,747.921
1.946359,5,287.214,42.523,2223.799,263.691,2770.840,553.537,3219.091,183.906,4430.039,797.795
1.952609,5,286.872,42.390,2256.193,279.703,2836.234,497.584,3206.550,171.924,4353.542,764.717
1.958859,5,286.180,48.920,2258.498,459.828,2793.577,513.902,3217.409,134.592,4257.231,629.514
1.965109,5,287.293,62.848,2228.090,615.656,2845.942,512.551,3240.704,115.301,4435.619,1388.352
1.971359,5,286.300,55.649,2278.890,518.531,2942.619,362.944,3264.510,128.053,4681.969,2226.318
1.977609,5,285.302,50.819,2235.003,289.906,2971.601,645.974,3237.588,147.046,4492.390,1866.398
1.983859,5,288.605,56.953,2219.969,202.017,3025.190,790.283,3226.433,220.630,5375.642,2716.562
1.990109,5,283.965,46.483,2211.327,215.642,2896.658,1038.810,3195.586,197.409,4362.594,1424.893
1.996359,5,278.391,50.720,2204.368,277.701,2904.946,485.698,3224.197,161.409,4414.499,1237.061
2.002609,5,280.015,43.592,2232.105,367.797,2876.541,431.277,3240.749,136.487,4327.413,947.260
2.008859,5,279.247,40.061,2203.955,421.501,2958.790,397.886,3216.665,223.979,4471.312,1166.380
2.015109,5,278.083,45.766,2241.788,636.101,2934.869,437.059,3227.375,220.819,4405.759,1393.263
2.021359,5,280.050,46.440,2252.610,480.843,2801.798,720.535,3194.374,168.914,4263.827,656.467
2.027609,5,289.301,68.471,2252.554,216.542,3052.166,1811.781,3126.732,289.067,4147.586,1015.166
2.033859,5,283.502,60.141,2233.854,214.201,2923.385,1638.791,3134.082,218.875,4194.627,856.209
2.040109,5,281.904,58.793,2241.266,229.015,3156.550,270.716,3176.830,990.935,4452.171,2204.514
2.046359,5,284.949,56.161,2222.345,279.880,3057.018,804.551,3178.352,260.859,4240.233,1612.139
2.052609,5,279.487,50.311,2248.788,338.001,2982.487,371.441,3268.801,176.822,4497.956,1832.274
2.058859,5,286.678,42.692,2292.222,351.728,2889.132,607.805,3244.695,143.639,4477.246,1262.746
2.065109,5,291.986,46.567,2311.630,464.714,3012.172,722.631,3205.038,213.721,4661.949,2010.866
2.071359,5,294.333,62.398,2243.446,760.594,3023.722,658.685,3196.405,155.766,4905.426,2273.598
2.077609,5,291.671,79.896,2187.853,705.138,2982.929,877.607,3192.438,120.698,4756.524,2008.213
2.083859,5,285.591,77.048,2112.899,830.853,2991.726,447.473,3251.738,132.918,4871.803,2747.017
2.090109,5,285.987,63.300,2354.343,722.606,2924.099,578.238,3245.275,136.193,4171.003,1705.991
2.096359,5,283.061,63.650,2372.677,539.293,3021.674,710.616,3209.597,157.358,4359.611,2122.101
2.102609,4,287.660,76.258,2407.123,936.150,3048.851,364.881,3248.600,192.812,--undefined--,--undefined--
2.108859,4,286.379,59.277,2214.432,1223.364,2986.494,226.136,3265.394,155.966,--undefined--,--undefined--
2.115109,4,277.891,59.954,2288.729,615.377,2985.237,548.870,3223.184,158.341,--undefined--,--undefined--
2.121359,5,271.242,40.721,2235.825,265.813,2897.825,629.511,3209.233,148.946,4270.147,971.788
2.127609,5,271.167,55.110,2234.377,301.202,3011.838,1516.353,3111.975,158.043,4317.296,1340.633
2.133859,5,274.022,78.185,2236.457,272.774,3117.056,2791.912,3143.007,198.376,4085.675,1182.912
2.140109,5,281.055,70.095,2249.691,394.585,3015.058,1156.708,3155.758,221.904,4264.677,1199.100
2.146359,5,277.899,47.027,2229.470,299.941,2960.713,594.888,3201.426,274.430,4288.436,902.136
2.152609,5,276.907,45.152,2201.606,353.352,2849.254,729.612,3171.211,219.673,4257.380,851.551
2.158859,5,277.748,49.376,2242.745,553.043,2827.780,776.511,3141.876,236.809,4106.761,1090.446
2.165109,5,285.170,54.887,2239.238,327.115,3033.862,811.521,3156.794,269.700,4202.551,1180.469
2.171359,5,286.334,63.564,2292.051,422.134,3104.174,976.743,3195.770,201.999,4282.117,1850.358
2.177609,5,277.080,55.555,2256.379,349.205,3105.118,1195.995,3133.866,198.789,4220.512,1360.326
2.183859,5,275.710,48.918,2260.102,276.594,3072.650,240.019,3330.916,1114.211,4293.362,1540.324
2.190109,5,276.917,57.238,2358.289,505.116,3154.809,295.873,3279.308,1123.504,4803.579,2948.733
2.196359,5,271.579,50.196,2208.983,609.112,3041.166,237.900,3374.887,472.394,4818.725,2890.472
2.202609,4,275.674,67.087,2235.532,827.560,3012.575,525.751,3217.436,214.163,--undefined--,--undefined--
2.208859,5,278.194,48.730,2267.189,716.657,3018.402,851.183,3211.452,130.181,5025.555,3142.903
2.215109,5,273.977,39.000,2127.963,577.666,2950.453,1124.540,3208.197,114.207,4366.538,1510.071
2.221359,5,271.817,39.717,2165.222,537.545,3122.596,1611.260,3186.322,111.884,4355.041,1735.928
2.227609,5,273.126,40.381,2179.296,1237.370,2799.001,682.028,3164.371,124.219,4612.473,1710.238
2.233859,5,270.652,45.993,2446.782,1621.659,2768.710,560.756,3168.950,124.947,4889.836,2499.502
2.240109,5,265.580,43.045,2287.749,540.871,2956.378,2847.069,3151.259,100.577,4223.325,989.387
2.246359,4,265.133,52.228,2155.338,171.708,3147.397,84.682,4068.995,1078.054,--undefined--,--undefined--
2.252609,4,266.249,38.901,2178.531,149.382,3138.189,183.427,3415.720,1061.467,--undefined--,--undefined--
2.258859,5,261.170,31.608,2184.536,278.890,3095.231,587.026,3204.622,202.228,5097.124,2192.644
2.265109,5,260.150,39.273,2187.885,285.413,2787.779,1246.931,3229.446,96.256,4563.015,1422.940
2.271359,5,262.956,39.486,2186.738,313.542,2806.507,1801.139,3214.685,122.048,4418.116,1198.563
2.277609,4,265.589,47.637,2162.786,217.580,3153.227,140.577,3670.149,1105.268,--undefined--,--undefined--
2.283859,5,262.510,42.320,2175.756,194.472,3068.611,1353.280,3154.222,196.438,4537.696,1495.440
2.290109,5,262.856,32.826,2160.866,262.245,2789.271,1240.987,3171.346,143.637,4303.892,844.082
2.296359,5,266.959,37.305,2156.115,148.453,2993.887,2476.074,3181.926,116.329,4219.538,1238.370
2.302609,5,267.363,41.839,2173.469,146.910,3043.880,1696.262,3141.489,253.643,4222.435,758.304
2.308859,5,267.069,44.565,2168.298,332.419,2932.603,726.309,3168.969,185.340,4245.218,678.133
2.315109,5,265.233,57.059,2206.271,555.097,2960.885,879.781,3203.799,162.382,4250.825,937.725
2.321359,5,264.539,58.890,2220.525,331.367,3079.047,1623.753,3143.889,184.800,4188.321,1155.831
2.327609,5,265.721,46.768,2154.291,241.749,3098.679,179.287,3439.271,1023.588,5203.025,2707.772
2.333859,5,265.044,37.078,2186.206,221.365,3149.608,211.341,3207.074,1419.792,4581.271,1505.038
2.340109,5,268.188,36.111,2132.458,301.683,3177.695,1262.767,3212.830,147.818,5030.533,2269.366
2.346359,5,271.717,49.510,2150.068,338.962,3097.085,1228.886,3201.485,177.846,4539.319,1829.894
2.352609,5,274.761,56.358,2214.563,374.779,3121.534,908.381,3137.879,310.944,4518.650,2388.383
2.358859,5,270.661,43.912,2150.057,418.349,2842.727,770.250,3183.418,184.809,4296.077,1096.071
2.365109,5,266.246,45.209,2231.151,413.723,2918.616,1098.624,3154.553,217.408,4304.449,1003.993
2.371359,5,263.156,44.842,2156.294,654.103,2879.546,688.215,3219.847,155.967,4235.608,837.471
2.377609,5,268.157,41.836,2147.274,759.722,2929.718,591.535,3226.842,148.383,4353.863,1497.552
2.383859,5,269.036,39.334,2171.085,602.846,2915.015,534.658,3215.575,139.301,4262.694,1107.317
2.390109,5,271.507,37.899,2183.888,321.069,2953.593,602.973,3216.734,133.444,4229.703,1078.694
2.396359,5,266.709,34.316,2196.806,360.443,2928.834,412.136,3239.106,140.347,4470.165,1552.818
2.402609,5,269.306,34.206,2231.310,394.166,2859.651,434.678,3243.842,145.465,4452.178,1143.300
2.408859,5,269.881,34.486,2199.074,316.280,2865.321,681.537,3195.386,141.498,4493.607,1206.649
2.415109,5,269.358,41.839,2255.150,498.716,3127.707,184.145,3238.909,715.662,5407.832,3303.065
2.421359,4,269.629,45.015,2206.321,439.815,3051.715,647.750,3190.210,178.179,--undefined--,--undefined--
2.427609,5,267.954,56.296,2189.158,277.219,2857.906,1659.066,3189.287,176.654,4475.681,1398.551
2.433859,5,269.824,45.561,2249.870,418.031,2634.525,1232.751,3179.868,155.488,4454.069,812.298
2.440109,5,265.516,46.891,2341.342,634.202,2433.278,1217.315,3160.658,149.378,4362.754,972.166
2.446359,5,267.508,43.255,2183.483,385.354,2872.469,1156.978,3127.156,246.669,4261.336,1238.422
2.452609,5,265.249,45.670,2168.519,279.932,3075.557,812.991,3171.762,315.426,4530.635,2095.840
2.458859,5,269.509,46.298,2210.373,243.078,3171.872,218.570,3240.050,1438.263,4756.753,2563.117
2.465109,5,273.462,42.422,2214.920,174.958,2965.159,1139.867,3132.614,281.495,4333.524,1191.529
2.471359,5,272.744,46.734,2236.577,216.330,2895.663,1399.214,3195.203,200.802,4339.591,1361.166
2.477609,4,271.433,48.834,2250.708,332.640,3191.614,173.836,3251.165,749.489,--undefined--,--undefined--
2.483859,5,268.431,32.805,2226.283,382.365,3071.432,850.471,3213.355,112.495,5156.598,2165.519
2.490109,5,272.601,71.832,2338.245,385.086,2605.169,2219.681,3220.286,88.583,4514.074,1305.683
2.496359,5,273.998,73.853,2259.412,380.768,2425.970,1782.835,3261.434,172.776,4461.292,1069.203
2.502609,5,272.050,40.916,2182.444,249.019,2732.999,1404.508,3288.545,170.033,4671.348,1412.907
2.508859,5,271.649,48.176,2169.818,241.583,3072.160,1600.030,3221.897,172.901,4479.746,1685.567
2.515109,5,272.807,59.137,2361.268,586.015,2898.819,1932.713,3170.322,174.706,4170.865,1036.580
2.521359,5,276.514,46.600,2298.361,481.106,2988.658,755.465,3202.541,224.242,4373.944,1065.123
2.527609,5,278.301,54.641,2245.962,707.767,2889.392,843.135,3196.917,182.050,4476.449,1350.927
2.533859,5,271.367,49.785,2142.195,550.934,2950.423,723.228,3206.424,252.657,4516.920,1406.494
2.540109,4,269.791,54.778,2168.154,258.903,3103.046,204.188,3556.726,806.441,--undefined--,--undefined--
2.546359,5,277.249,54.143,2176.580,243.247,3137.901,189.702,3159.229,1693.596,4391.105,1514.323
2.552609,5,277.722,41.141,2144.657,432.387,2818.157,753.289,3249.893,149.456,4654.763,1046.236
2.558859,5,283.251,36.246,2318.544,871.850,2647.116,532.351,3271.484,145.483,4783.785,1373.639
2.565109,5,291.341,58.598,2136.277,949.578,2674.204,678.859,3269.509,122.284,4748.917,1528.214
2.571359,5,291.314,68.379,2003.810,606.934,2850.082,729.303,3272.412,106.528,4623.658,1412.889
2.577609,5,277.270,68.449,2018.772,731.440,2957.687,780.935,3258.571,161.674,4396.518,970.146
2.583859,5,289.809,57.254,2125.662,877.169,2906.878,558.275,3224.749,174.715,4514.689,1309.321
2.590109,5,296.340,52.135,2155.940,643.022,2863.975,684.828,3149.193,149.128,4566.819,1010.816
2.596359,5,293.066,49.418,2163.165,446.726,2859.904,742.324,3200.683,142.005,4546.538,771.286
2.602609,5,297.122,90.163,2107.774,608.153,2882.295,1169.564,3217.356,120.606,4491.468,1157.454
2.608859,5,291.465,74.283,2187.397,219.639,2972.134,1165.112,3172.615,202.180,4268.914,1114.177
2.615109,5,286.696,72.248,2159.456,228.631,2896.410,816.366,3197.041,273.650,4380.796,1388.867
2.621359,5,279.445,64.744,2063.464,440.212,2886.894,712.622,3217.001,174.258,4660.722,1227.890
2.627609,5,289.263,58.753,2099.624,413.740,2901.000,784.519,3201.780,129.806,4816.778,1258.704
2.633859,5,290.756,81.896,2310.387,334.472,2892.238,2416.249,3162.807,193.740,4609.750,1499.895
2.640109,5,288.112,93.666,2306.972,292.395,3153.887,232.499,3492.753,1167.259,4410.199,3640.763
2.646359,5,287.187,66.300,2263.729,274.536,3165.014,585.831,3226.336,322.919,4579.481,2836.602
2.652609,5,279.353,64.544,2188.605,334.523,3073.224,602.107,3247.329,198.573,4678.652,2737.166
2.658859,5,277.710,92.247,1962.265,970.994,3001.012,711.976,3239.552,198.324,4308.181,1331.032
2.665109,5,290.517,97.327,1879.496,1877.363,2820.229,493.171,3236.845,129.473,4148.594,787.118
2.671359,5,282.416,82.110,2133.075,1854.098,2837.947,587.482,3216.897,107.856,4213.833,1472.501
2.677609,4,280.482,62.982,2143.758,425.685,3009.408,467.364,3262.762,210.785,--undefined--,--undefined--
2.683859,4,283.918,62.429,2176.488,237.364,3070.086,402.545,3275.956,349.720,--undefined--,--undefined--
2.690109,4,278.805,62.875,2172.766,202.922,3175.990,207.389,3501.509,1000.034,--undefined--,--undefined--
2.696359,5,272.411,48.481,2094.842,322.941,3093.652,343.449,3183.594,800.754,4707.671,1575.375
2.702609,5,270.236,38.813,2107.978,339.022,2944.436,572.348,3201.824,299.139,4811.702,1354.547
2.708859,5,272.649,60.524,2270.570,779.643,2815.043,1005.603,3160.076,248.871,4646.190,1619.447
2.715109,4,279.265,65.153,2251.190,328.189,3088.698,677.209,3196.382,333.697,--undefined--,--undefined--
2.721359,4,282.006,45.281,2223.320,266.869,2993.653,434.207,3278.236,193.631,--undefined--,--undefined--
2.727609,4,283.629,60.536,2216.996,455.688,2980.058,956.673,3267.172,134.935,--undefined--,--undefined--
2.733859,4,290.783,130.672,2397.491,604.360,2978.833,2378.441,3235.953,183.407,--undefined--,--undefined--
2.740109,4,283.248,70.408,2123.239,356.504,3040.095,525.121,3250.821,320.991,--undefined--,--undefined--
2.746359,5,285.392,50.299,2124.417,286.001,3026.392,888.959,3191.589,174.732,4437.900,1389.491
2.752609,5,279.971,71.877,2131.205,716.586,2846.804,973.083,3212.613,98.029,4472.832,983.090
2.758859,5,280.756,80.546,2287.561,436.279,2396.777,2077.544,3214.781,84.367,4456.913,903.554
2.765109,5,286.945,78.233,2273.228,579.840,2748.759,2405.619,3262.613,162.120,4348.312,1625.750
2.771359,5,282.728,64.846,2108.635,449.524,2915.155,898.379,3277.772,146.485,4455.800,1600.464
2.777609,5,279.536,62.274,2109.139,255.576,2906.185,380.044,3262.204,132.113,5066.954,1995.025
2.783859,4,282.762,72.094,2171.631,282.799,3016.175,442.606,3239.472,233.598,--undefined--,--undefined--
2.790109,4,278.870,71.191,2185.433,301.368,3013.646,407.016,3209.144,265.763,--undefined--,--undefined--
2.796359,4,270.488,73.007,2234.462,377.374,3147.855,812.973,3176.233,299.863,--undefined--,--undefined--
2.802609,5,272.861,52.572,2134.855,368.888,2921.255,399.167,3265.533,270.162,4735.099,1709.855
2.808859,5,281.841,50.662,2097.945,364.359,2941.879,348.382,3274.782,283.467,4611.816,1424.738
2.815109,5,279.070,61.534,2060.708,668.232,2893.499,616.469,3218.367,263.339,4531.427,1010.046
2.821359,4,290.031,100.583,2152.739,405.507,3191.316,1377.275,3206.099,123.638,--undefined--,--undefined--
2.827609,4,293.148,70.321,2163.509,207.271,3088.224,803.177,3200.102,172.717,--undefined--,--undefined--
2.833859,5,287.814,64.666,2136.127,310.582,3091.525,744.192,3206.020,247.432,4883.889,2436.662
2.840109,5,286.974,69.355,2106.166,469.263,2902.931,677.208,3208.292,267.475,4350.013,891.661
2.846359,5,293.624,82.150,2186.631,269.048,3071.689,1154.868,3117.177,230.255,4358.718,1692.829
2.852609,4,303.529,127.530,2223.088,276.967,3172.129,270.332,3437.884,770.548,--undefined--,--undefined--
2.858859,5,292.839,85.026,2166.423,829.683,2779.008,1265.961,3163.572,302.027,4526.418,1693.354
2.865109,5,291.733,58.264,2177.829,398.554,3019.394,1578.015,3166.324,275.148,4521.771,1377.848
2.871359,5,293.261,70.500,2173.850,495.882,2917.393,1330.534,3221.703,171.692,4920.048,1901.285
2.877609,4,289.533,60.784,2088.759,704.718,2954.004,683.879,3194.146,137.926,--undefined--,--undefined--
2.883859,5,293.734,72.021,2019.031,809.461,3120.900,822.346,3175.702,230.047,4486.022,1826.316
2.890109,5,300.060,63.608,2160.453,455.375,3107.286,277.426,3231.960,1217.163,4391.326,1951.384
2.896359,4,293.613,60.424,2076.193,523.125,3132.939,285.201,3153.789,616.633,--undefined--,--undefined--
2.902609,5,290.842,130.595,2011.804,960.248,3118.615,222.546,3282.314,1429.915,4363.153,2259.582
2.908859,5,291.108,113.462,2148.653,551.140,3031.720,246.042,3734.350,3450.388,3888.863,1185.310
2.915109,4,289.758,83.684,2127.020,359.165,3076.786,203.795,3520.437,798.211,--undefined--,--undefined--
2.921359,4,280.546,53.660,2097.034,394.509,2959.844,354.303,3250.142,259.508,--undefined--,--undefined--
2.927609,4,277.700,42.193,2140.965,293.918,2960.147,335.601,3231.716,348.605,--undefined--,--undefined--
2.933859,5,273.602,47.408,2125.209,268.171,2965.389,329.945,3265.901,336.012,5314.981,2286.548
2.940109,5,274.989,73.345,2159.423,421.461,3013.336,822.808,3153.052,218.357,4685.476,2161.860
2.946359,4,275.141,80.775,2140.749,353.609,3057.957,765.027,3135.339,195.562,--undefined--,--undefined--
2.952609,5,272.235,79.789,2130.298,449.452,2793.135,915.286,3159.375,99.645,5025.726,1790.838
2.958859,5,266.001,55.968,2137.210,398.205,2826.627,578.420,3179.615,136.398,4680.993,954.104
2.965109,5,274.231,70.328,2196.968,329.519,3067.892,331.611,3267.125,357.207,5101.870,2419.829
2.971359,4,282.618,79.733,2180.269,402.733,3084.350,288.538,3286.058,489.405,--undefined--,--undefined--
2.977609,4,284.830,68.675,2179.764,413.581,3076.168,273.491,3289.983,434.675,--undefined--,--undefined--
2.983859,4,286.345,65.139,2256.270,370.052,3068.082,647.309,3210.645,192.535,--undefined--,--undefined--
2.990109,4,282.683,73.781,2302.445,585.206,3105.016,1185.249,3186.201,180.452,--undefined--,--undefined--
2.996359,4,286.076,110.531,2234.527,438.685,3223.374,954.076,3229.837,144.819,--undefined--,--undefined--
3.002609,4,272.040,73.113,2178.945,346.529,2961.105,666.959,3219.998,201.036,--undefined--,--undefined--
3.008859,5,271.756,62.673,2188.399,209.857,2898.942,320.692,3258.702,161.257,4440.535,2177.088
3.015109,5,272.304,58.778,2170.537,138.404,2953.434,292.681,3256.584,126.458,4857.603,2596.187
3.021359,4,280.317,62.909,2165.475,212.734,2945.364,435.988,3239.531,147.254,--undefined--,--undefined--
3.027609,4,288.095,74.127,2171.204,220.250,3028.429,725.163,3175.489,197.211,--undefined--,--undefined--
3.033859,4,286.198,76.353,2193.037,235.986,3066.410,908.726,3115.770,260.591,--undefined--,--undefined--
3.040109,4,279.046,80.996,2188.191,232.894,2995.562,492.762,3172.379,265.220,--undefined--,--undefined--
3.046359,4,277.676,73.988,2189.519,241.214,3014.551,393.908,3198.046,279.203,--undefined--,--undefined--
3.052609,4,283.294,76.487,2188.870,184.899,3006.727,241.325,3292.704,254.080,--undefined--,--undefined--
3.058859,4,284.990,69.595,2190.271,303.213,3002.677,421.265,3256.497,292.586,--undefined--,--undefined--
3.065109,4,291.648,106.940,2212.458,1761.777,2750.087,553.385,3246.046,172.180,--undefined--,--undefined--
3.071359,5,286.423,74.270,2159.535,625.213,2920.309,601.637,3259.316,283.502,4837.665,2134.599
3.077609,4,287.172,90.889,2144.695,372.098,3110.403,248.197,3280.727,1046.137,--undefined--,--undefined--
3.083859,4,283.640,63.670,2209.079,384.657,3012.636,1037.170,3162.036,311.645,--undefined--,--undefined--
3.090109,4,284.719,60.619,2181.677,335.337,2955.750,857.195,3217.057,367.051,--undefined--,--undefined--
3.096359,4,285.633,66.186,2196.903,326.926,2947.871,471.817,3267.325,215.269,--undefined--,--undefined--
3.102609,4,284.721,81.663,2242.999,261.171,3086.915,450.062,3287.271,320.118,--undefined--,--undefined--
3.108859,4,294.469,111.815,2279.862,349.082,3148.274,238.004,3535.853,1422.761,--undefined--,--undefined--
3.115109,5,292.072,78.589,2253.022,490.582,2868.581,1889.882,3189.345,221.663,4228.970,1805.894
3.121359,4,286.863,107.193,2139.294,820.283,3072.617,541.759,3227.857,190.580,--undefined--,--undefined--
3.127609,4,279.799,104.009,2119.238,1073.117,3142.764,635.876,3177.198,210.649,--undefined--,--undefined--
3.133859,5,276.897,108.926,2093.263,928.794,3079.346,197.284,3136.587,1638.885,4749.254,2433.463
3.140109,5,276.234,92.689,1861.980,980.605,2981.226,440.864,3240.457,193.748,5015.793,2202.360
3.146359,4,284.033,98.871,2186.709,1045.760,3074.820,743.932,3210.719,238.038,--undefined--,--undefined--
3.152609,5,283.249,95.362,2245.714,417.776,2901.924,2272.966,3224.482,201.177,4469.926,1848.165
3.158859,5,280.130,72.692,2247.605,444.144,3031.689,1287.258,3266.775,202.155,4436.735,2092.996
3.165109,5,290.608,104.375,2256.371,552.753,2854.459,1853.664,3259.711,124.146,4785.251,2602.735
3.171359,4,293.012,99.112,2152.932,262.767,3249.201,120.140,3269.551,2094.566,--undefined--,--undefined--
3.177609,5,282.509,67.257,2114.785,399.844,3037.622,911.457,3211.084,162.656,4904.202,1804.116
3.183859,5,278.666,68.396,2216.392,681.733,2979.834,613.373,3297.382,371.115,4712.234,1883.778
3.190109,5,289.836,71.240,2249.154,536.222,3088.796,546.609,3265.132,335.179,4509.337,2151.809
3.196359,4,292.202,75.729,2185.955,325.831,3079.872,450.656,3277.980,303.238,--undefined--,--undefined--
3.202609,4,281.379,77.554,2173.317,264.398,3063.135,300.439,3478.422,582.139,--undefined--,--undefined--
3.208859,4,284.878,74.838,2205.854,304.607,3104.464,371.378,3293.635,665.804,--undefined--,--undefined--
3.215109,5,273.120,43.093,2131.639,257.435,2897.295,529.750,3177.462,218.328,4752.454,1437.312
3.221359,5,265.851,46.463,2118.180,291.910,2826.110,538.853,3182.427,169.154,4488.169,896.634
3.227609,5,268.476,48.362,2104.737,298.687,2897.180,456.276,3214.462,157.333,4584.905,1549.841
3.233859,5,270.005,59.327,2098.984,274.553,2940.871,510.211,3229.480,225.936,4845.909,1995.339
3.240109,4,275.718,78.311,2159.176,403.594,2996.617,599.168,3204.448,284.629,--undefined--,--undefined--
3.246359,4,276.672,65.694,2178.088,351.781,3029.821,662.254,3198.463,242.292,--undefined--,--undefined--
3.252609,4,277.874,69.736,2115.351,712.559,2848.310,633.106,3218.766,203.025,--undefined--,--undefined--
3.258859,4,279.911,72.926,2225.530,740.153,2959.294,644.168,3251.027,266.284,--undefined--,--undefined--
3.265109,4,285.321,61.363,2189.231,525.047,3063.480,752.527,3213.642,195.839,--undefined--,--undefined--
